Id,PostId,Score,Text,CreationDate,UserDisplayName,UserId,Id,Reputation,CreationDate,DisplayName,LastAccessDate,WebsiteUrl,Location,AboutMe,Views,UpVotes,DownVotes,ProfileImageUrl,EmailHash,Age,AccountId
"41934278","26666075","0","CssClass、ID 。I have tried, invalid I have a picture message in 2F ><""","2014-10-31 01:47:46","","4098214","4098214","28","2014-10-01 09:34:19","DrWeather","2016-10-14 08:27:47","","","","8","0","0","https://www.gravatar.com/avatar/2110b9a538339ef17a3abc00cdec08b7?s=128&d=identicon&r=PG&f=1","","","5111869"
"41934279","13182569","1","Doesn't work for iAd banner views... which is a common ""needs to be on top"" problem. (iAds are not allowed in non-VCs)","2014-10-31 01:47:52","","2057171","2057171","7930","2011-05-28 00:09:14","Albert Renshaw","2017-07-01 03:59:07","http://www.Apps4Life.com","Atlanta, GA","<p>CEO, Apps4Life, LLC.
CEO, LifeCHNL, inc.</p>
","1439","877","54","https://i.stack.imgur.com/fVGbI.jpg","","23","405164"
"41934280","26665812","0","did you work on `NFC` based apps, If you worked, I have a small doubt.","2014-10-31 01:47:58","","3223487","3223487","615","2014-01-22 12:32:01","vasan","2015-08-24 16:05:57","http://infratab.in","Banglore","<p>@Infratab - Front-end Developer, Like to Sketch a lot &amp; love to solve front-end code issues.</p>
","52","9","0","","","33","3893955"
"41934281","26643544","0","Thanks, work perfectly","2014-10-31 01:48:11","","4196379","4196379","120","2014-10-30 00:36:49","samuel guedon","2017-03-20 21:40:16","","","","26","6","0","https://www.gravatar.com/avatar/4313aff86b142bb58e09e223863b1e81?s=128&d=identicon&r=PG&f=1","","","5252621"
"41934283","26665124","0","Is there a reason you are using Keyframe? would a UIView.animateWithDuration(duration:delay:options:animations:completion:) work. I also had trouble with the keyframe version, but got this version to work.","2014-10-31 01:48:14","","259753","259753","589","2010-01-27 03:17:25","JMFR","2017-07-01 22:51:10","http://johnregner.tumblr.com","Wisconsin","<p>A <a href=""https://developer.apple.com/swift/"" rel=""nofollow"">Swift</a> developer currently trying to <a href=""http://knowyourmeme.com/memes/x-all-the-y"" rel=""nofollow"">LEARN ALL THE THINGS</a>!!</p>

<p><img src=""https://i.chzbgr.com/maxW500/8457327360/h8E1F631F/"" alt=""Learn all the things meme""></p>
","121","108","1","","","32","95361"
"41934284","26666303","0","thank you so much","2014-10-31 01:48:15","","4075787","4075787","29","2014-09-24 16:36:42","Adeetya Ravisankar","2016-05-03 18:30:24","","","","22","6","0","https://graph.facebook.com/724313285/picture?type=large","","","5079145"
"41934285","26666258","0","looks good Fernando","2014-10-31 01:48:24","","1981996","1981996","5172","2013-01-15 23:46:51","diggy","2017-06-30 11:11:17","","","","449","98","13","https://i.stack.imgur.com/X3JDQ.jpg?s=128&g=1","","","2219640"
"41934286","26666296","0","awesome!!! thank you !","2014-10-31 01:48:25","","4183734","4183734","46","2014-10-26 20:04:11","ads27","2015-02-08 21:17:53","","","","41","19","0","https://www.gravatar.com/avatar/02c5e6e5dfd6357e54ae29aeca873541?s=128&d=identicon&r=PG&f=1","","","5234787"
"41934287","26659479","1","You probably won't need the `re.findall`. `if ""something"" in line`","2014-10-31 01:48:26","","131527","131527","165967","2009-07-01 07:16:51","ghostdog74","2014-11-23 00:26:18","","","","5088","224","292","","","","44762"
"41934288","26666249","0","Yes I tried a lot of things, none of which worked.","2014-10-31 01:48:27","","4200765","4200765","3","2014-10-31 01:21:09","Eissen","2016-07-30 15:54:30","","","","0","0","0","https://www.gravatar.com/avatar/7701fd96fb227ec9318f81e6e608953e?s=128&d=identicon&r=PG&f=1","","","5258608"
