week,film,novel,Book 1: film,Book 1: novel,Book 2: film,Book 2: novel,Book 3: film,Book 3: novel,Book 4: film,Book 4: novel,Book 5: film,Book 5: novel,Book 6: film,Book 6: novel,Book 7: film pt1,Book 7:film pt2,Book 7: novel
2012-07-08,29,1600,20.25,50,29.7931034483,98.2413793103,28.8275862069,18.7878787879,49.7777777778,23.9032258065,42.1379310345,24.6774193548,59.5161290323,29.6129032258,187.0416666667,170.6666666667,115.2173913043
2012-07-15,26,1560,20.25,50.8620689655,32.275862069,80.3793103448,29.5862068966,21.2121212121,47.4074074074,23.2903225806,34.9655172414,23.7096774194,52.9032258065,29.0322580645,192.625,165.3333333333,117.5217391304
2012-07-22,30,1560,19.125,54.3103448276,33.9310344828,85.4827586207,31.1034482759,20,49.7777777778,23.9032258065,43.0344827586,27.5806451613,52.9032258065,31.935483871,189.8333333333,165.3333333333,112.9130434783
2012-07-29,26,1600,20.25,64.6551724138,28.1379310345,98.2413793103,28.0689655172,24.2424242424,49.7777777778,31.8709677419,40.3448275862,30.9677419355,51.5806451613,36,217.75,165.3333333333,115.2173913043
2012-08-05,26,1480,19.125,62.0689655172,27.3103448276,91.8620689655,28.0689655172,25.4545454545,49.7777777778,28.1935483871,38.5517241379,30.4838709677,54.2258064516,38.9032258065,203.7916666667,154.6666666667,112.9130434783
2012-08-12,29,1640,20.25,52.5862068966,28.1379310345,81.6551724138,27.3103448276,23.6363636364,54.5185185185,30.6451612903,47.5172413793,36.2903225806,59.5161290323,40.6451612903,223.3333333333,165.3333333333,122.1304347826
2012-08-19,26,1520,19.125,51.724137931,28.1379310345,66.3448275862,27.3103448276,17.5757575758,42.6666666667,23.9032258065,41.2413793103,33.8709677419,50.2580645161,36,192.625,162.6666666667,108.3043478261
2012-08-26,26,1520,19.125,45.6896551724,26.4827586207,61.2413793103,26.5517241379,16.9696969697,39.1111111111,20.8387096774,32.275862069,26.6129032258,55.5483870968,45.2903225806,209.375,160,110.6086956522
2012-09-02,24,1520,19.125,35.3448275862,29.7931034483,59.9655172414,25.0344827586,18.7878787879,40.2962962963,17.1612903226,29.5862068966,24.1935483871,48.935483871,28.4516129032,173.0833333333,144,101.3913043478
2012-09-09,20,1360,16.875,34.4827586207,22.3448275862,49.7586206897,22.7586206897,13.9393939394,35.5555555556,15.3225806452,27.7931034483,19.8387096774,41,22.064516129,145.1666666667,117.3333333333,92.1739130435
2012-09-16,22,1360,16.875,34.4827586207,23.1724137931,52.3103448276,24.275862069,13.3333333333,32,15.3225806452,26,16.935483871,38.3548387097,21.4838709677,128.4166666667,120,94.4782608696
2012-09-23,21,1360,16.875,31.0344827586,24.8275862069,48.4827586207,22,12.7272727273,35.5555555556,17.7741935484,26,17.9032258065,38.3548387097,17.4193548387,125.625,109.3333333333,85.2608695652
2012-09-30,22,1360,16.875,37.0689655172,25.6551724138,45.9310344828,21.2413793103,13.3333333333,33.1851851852,15.935483871,25.1034482759,16.4516129032,34.3870967742,19.1612903226,120.0416666667,117.3333333333,87.5652173913
2012-10-07,22,1320,18,35.3448275862,22.3448275862,44.6551724138,21.2413793103,13.3333333333,30.8148148148,16.5483870968,26.8965517241,16.935483871,37.0322580645,22.6451612903,125.625,109.3333333333,85.2608695652
