type "maximal width" "front angle"
conc 150 15
conc 147 13
conc 144 14
conc 144 16
conc 153 13
conc 140 15
conc 151 14
conc 143 14
conc 144 14
conc 142 15
conc 141 13
conc 150 15
conc 148 13
conc 154 15
conc 147 14
conc 137 14
conc 134 15
conc 157 14
conc 149 13
conc 147 13
conc 148 14
heik 120 14
heik 123 16
heik 130 14
heik 131 16
heik 116 16
heik 122 15
heik 127 15
heik 132 16
heik 125 14
heik 119 13
heik 122 13
heik 120 15
heik 119 14
heik 123 15
heik 125 15
heik 125 14
heik 129 14
heik 130 13
heik 129 13
heik 122 12
heik 129 15
heik 124 15
heik 120 13
heik 119 16
heik 119 14
heik 133 13
heik 121 15
heik 128 14
heik 129 14
heik 124 13
heik 129 14
hept 145 8
hept 140 11
hept 140 11
hept 131 10
hept 139 11
hept 139 10
hept 136 12
hept 129 11
hept 140 10
hept 137 9
hept 141 11
hept 138 9
hept 143 9
hept 142 11
hept 144 10
hept 138 10
hept 140 10
hept 130 9
hept 137 11
hept 137 10
hept 136 9
hept 140 10
